.,assign,bool,comma,compl,const,div,do,domain,else,emit,eq,float,floatval,geq,gt,id,if,int,intval,lbrace,leq,lparen,lt,minus,mod,mult,not,plus,rand,rbrace,returns,rparen,sc,string,stringval,symtable,while,$,MODPARTS,GOTDECLLIST,GFTDECLLIST,FUNSIG,FUNCTION,EMIT,RAND,IF,IFELSE,WHILE,DOWHILE,ASSIGN,OTHERTYPE,DECLIDS,FUNTYPE,PARAMLIST,EXPR,STEPS,BRACESTMTS,BSTMTS,BSTMT,DECLLIST,SOLOSTMT,DECLTYPE,DECLID,BEXPR,AEXPR,FUNCALL,ARGLIST,BOOLS,PLUS,TIMES,SUM,PRODUCT,VALUE,UNARY,CAST
0,,sh-1,,,sh-2,,sh-3,,,sh-4,,sh-5,,,,sh-6,sh-7,sh-8,,,,,,,,,,,sh-9,,,,,sh-10,,,sh-11,,sh-12,sh-13,sh-14,sh-15,sh-16,sh-17,sh-18,sh-19,sh-20,sh-21,sh-22,sh-23,sh-24,,sh-25,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,r-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,sh-26,,,,,,,,,,sh-27,,,,,,sh-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,sh-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-30,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,sh-31,,,,,,sh-32,,,,,,,,,,,,,,sh-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,r-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,sh-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,sh-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,r-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,sh-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,r-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,sh-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-41,,sh-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,sh-1,,,sh-2,,sh-3,,,sh-4,,sh-5,,,,sh-6,sh-7,sh-8,,,,,,,,,,,sh-9,,,,,sh-10,,,sh-11,r-8,sh-43,sh-13,sh-14,sh-15,sh-16,sh-17,sh-18,sh-19,sh-20,sh-21,sh-22,sh-23,sh-24,,sh-25,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,sh-1,,,sh-2,,sh-3,,,sh-4,,sh-5,,,,sh-6,sh-7,sh-8,,,,,,,,,,,sh-9,,,,,sh-10,,,sh-11,r-14,sh-46,sh-13,sh-14,sh-15,sh-16,sh-17,sh-18,sh-19,sh-20,sh-21,sh-22,sh-23,sh-24,,sh-25,,,,,,,,,,,,,,,,,,,,,,
20,,sh-1,,,sh-2,,sh-3,,,sh-4,,sh-5,,,,sh-6,sh-7,sh-8,,,,,,,,,,,sh-9,,,,,sh-10,,,sh-11,r-16,sh-47,sh-13,sh-14,sh-15,sh-16,sh-17,sh-18,sh-19,sh-20,sh-21,sh-22,sh-23,sh-24,,sh-25,,,,,,,,,,,,,,,,,,,,,,
21,,sh-1,,,sh-2,,sh-3,,,sh-4,,sh-5,,,,sh-6,sh-7,sh-8,,,,,,,,,,,sh-9,,,,,sh-10,,,sh-11,r-18,sh-48,sh-13,sh-14,sh-15,sh-16,sh-17,sh-18,sh-19,sh-20,sh-21,sh-22,sh-23,sh-24,,sh-25,,,,,,,,,,,,,,,,,,,,,,
22,,sh-1,,,sh-2,,sh-3,,,sh-4,,sh-5,,,,sh-6,sh-7,sh-8,,,,,,,,,,,sh-9,,,,,sh-10,,,sh-11,r-20,sh-49,sh-13,sh-14,sh-15,sh-16,sh-17,sh-18,sh-19,sh-20,sh-21,sh-22,sh-23,sh-24,,sh-25,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,sh-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-52,,sh-53,,,,,,,,,,,sh-54,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,sh-55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-52,,sh-56,,,,,,,,,,,sh-54,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,r-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,r-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,r-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,r-40,,,r-40,,r-40,,,r-40,,r-40,,,,r-40,r-40,r-40,,r-40,,,,,,,,,r-40,r-40,,,,r-40,,,r-40,,,,,,,,,,,,,,,,,,,,,sh-57,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,sh-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,sh-60,,sh-61,,,,sh-62,,,,sh-63,sh-64,,,sh-65,,sh-66,sh-67,,,sh-68,,sh-69,,,sh-70,sh-71,,,,,,,sh-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-73,,,,sh-74,,sh-75,sh-76,sh-77,sh-78,sh-79
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r-111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
