.,$,sc,bool,int,float,const,string,id,lparen,rparen,comma,returns,assign,lbrace,rbrace,if,else,while,do,lt,leq,eq,geq,gt,plus,minus,mult,div,mod,domain,intval,floatval,stringval,not,compl,emit,symtable,rand,MODULE,MODPARTS,GOTDECLLIST,GFTDECLLIST,FUNTYPE,OTHERTYPE,FUNSIG,PARAMLIST,FUNCTION,BRACESTMTS,BSTMTS,BSTMT,SOLOSTMT,STEPS,DECLTYPE,DECLID,DECLIDS,DECLLIST,ASSIGN,IF,IFELSE,WHILE,DOWHILE,EXPR,FUNCALL,ARGLIST,BOOLS,BEXPR,PLUS,TIMES,AEXPR,SUM,PRODUCT,VALUE,UNARY,CAST,EMIT,RAND
0,,,sh-1,sh-2,sh-3,sh-4,sh-5,sh-6,,,,,,,,sh-7,,sh-8,sh-9,,,,,,,,,,,,,,,,,sh-10,,sh-11,,sh-12,sh-13,sh-14,sh-15,sh-16,sh-17,,sh-18,,,,,,,,,,sh-19,sh-20,sh-21,sh-22,sh-23,,,,,,,,,,,,,,sh-24,sh-25
1,,,,,,,,r-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,r-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,r-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,sh-26,sh-27,sh-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,r-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,sh-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,sh-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,sh-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,sh-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,sh-34,sh-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,sh-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,sh-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,sh-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,sh-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
